   Date        NH D14C   Tropics D14C        SH D14C
             (per mil)      (per mil)      (per mil)
 1850.5           -2.3           -4.0           -5.8
 1851.5           -2.6           -4.3           -6.0
 1852.5           -2.9           -4.6           -6.2
 1853.5           -3.2           -4.8           -6.4
 1854.5           -3.5           -5.1           -6.6
 1855.5           -3.7           -5.3           -6.8
 1856.5           -3.8           -5.4           -7.1
 1857.5           -3.8           -5.6           -7.4
 1858.5           -3.8           -5.7           -7.6
 1859.5           -3.9           -5.9           -7.9
 1860.5           -4.0           -6.0           -8.0
 1861.5           -4.2           -6.1           -8.0
 1862.5           -4.5           -6.3           -8.1
 1863.5           -4.7           -6.4           -8.1
 1864.5           -4.9           -6.5           -8.1
 1865.5           -5.0           -6.6           -8.3
 1866.5           -4.9           -6.8           -8.8
 1867.5           -4.8           -7.0           -9.3
 1868.5           -4.7           -7.2           -9.7
 1869.5           -4.6           -7.4          -10.2
 1870.5           -4.6           -7.6          -10.5
 1871.5           -4.9           -7.8          -10.6
 1872.5           -5.1           -8.0          -10.8
 1873.5           -5.3           -8.1          -11.0
 1874.5           -5.6           -8.4          -11.1
 1875.5           -5.6           -8.3          -11.1
 1876.5           -5.3           -8.1          -10.8
 1877.5           -5.1           -7.8          -10.5
 1878.5           -4.9           -7.5          -10.2
 1879.5           -4.6           -7.3           -9.9
 1880.5           -4.5           -7.2           -9.8
 1881.5           -4.6           -7.2           -9.8
 1882.5           -4.7           -7.3           -9.9
 1883.5           -4.7           -7.3           -9.9
 1884.5           -4.8           -7.3           -9.9
 1885.5           -4.8           -7.4          -10.0
 1886.5           -4.8           -7.5          -10.1
 1887.5           -4.9           -7.6          -10.3
 1888.5           -4.9           -7.7          -10.5
 1889.5           -4.9           -7.8          -10.6
 1890.5           -4.7           -7.6          -10.5
 1891.5           -4.4           -7.2          -10.1
 1892.5           -4.0           -6.9           -9.7
 1893.5           -3.6           -6.5           -9.3
 1894.5           -3.3           -6.1           -8.9
 1895.5           -3.1           -5.9           -8.7
 1896.5           -3.0           -5.9           -8.8
 1897.5           -3.0           -5.9           -8.8
 1898.5           -2.9           -5.9           -8.8
 1899.5           -2.8           -5.9           -8.9
 1900.5           -3.0           -6.0           -9.0
 1901.5           -3.4           -6.3           -9.2
 1902.5           -3.9           -6.6           -9.4
 1903.5           -4.3           -6.9           -9.6
 1904.5           -4.7           -7.2           -9.8
 1905.5           -5.2           -7.6          -10.0
 1906.5           -5.7           -8.0          -10.2
 1907.5           -6.2           -8.3          -10.5
 1908.5           -6.7           -8.7          -10.7
 1909.5           -7.2           -9.1          -10.9
 1910.5           -7.6           -9.3          -11.1
 1911.5           -7.9           -9.5          -11.1
 1912.5           -8.1           -9.7          -11.3
 1913.5           -8.3           -9.8          -11.4
 1914.5           -8.6          -10.0          -11.5
 1915.5           -9.1          -10.3          -11.6
 1916.5           -9.8          -10.8          -11.8
 1917.5          -10.6          -11.3          -12.0
 1918.5          -11.3          -11.7          -12.1
 1919.5          -12.0          -12.2          -12.3
 1920.5          -12.5          -12.6          -12.7
 1921.5          -12.7          -12.9          -13.2
 1922.5          -12.9          -13.3          -13.7
 1923.5          -13.0          -13.6          -14.2
 1924.5          -13.2          -13.9          -14.7
 1925.5          -13.6          -14.3          -15.0
 1926.5          -14.2          -14.7          -15.3
 1927.5          -14.9          -15.2          -15.5
 1928.5          -15.5          -15.6          -15.7
 1929.5          -16.1          -16.0          -16.0
 1930.5          -16.5          -16.4          -16.2
 1931.5          -16.6          -16.6          -16.5
 1932.5          -16.8          -16.8          -16.8
 1933.5          -17.0          -17.0          -17.1
 1934.5          -17.1          -17.2          -17.4
 1935.5          -17.5          -17.6          -17.8
 1936.5          -18.0          -18.1          -18.3
 1937.5          -18.6          -18.7          -18.8
 1938.5          -19.2          -19.2          -19.3
 1939.5          -19.7          -19.7          -19.8
 1940.5          -20.3          -20.3          -20.3
 1941.5          -20.8          -20.8          -20.8
 1942.5          -21.3          -21.3          -21.3
 1943.5          -21.8          -21.8          -21.8
 1944.5          -22.3          -22.3          -22.3
 1945.5          -22.7          -22.7          -22.7
 1946.5          -23.1          -23.1          -23.1
 1947.5          -23.5          -23.5          -23.5
 1948.5          -23.9          -23.9          -23.9
 1949.5          -24.3          -24.3          -24.3
 1950.5          -24.8          -24.8          -24.8
 1951.5          -24.8          -24.8          -24.8
 1952.5          -24.9          -24.9          -24.9
