1850 2015
Date   Global d13C (per mil)
 1850.5         -6.61
 1851.5         -6.61
 1852.5         -6.61
 1853.5         -6.61
 1854.5         -6.62
 1855.5         -6.62
 1856.5         -6.62
 1857.5         -6.62
 1858.5         -6.63
 1859.5         -6.63
 1860.5         -6.63
 1861.5         -6.64
 1862.5         -6.64
 1863.5         -6.65
 1864.5         -6.65
 1865.5         -6.65
 1866.5         -6.66
 1867.5         -6.66
 1868.5         -6.66
 1869.5         -6.67
 1870.5         -6.67
 1871.5         -6.67
 1872.5         -6.67
 1873.5         -6.67
 1874.5         -6.67
 1875.5         -6.68
 1876.5         -6.68
 1877.5         -6.68
 1878.5         -6.68
 1879.5         -6.68
 1880.5         -6.69
 1881.5         -6.69
 1882.5         -6.69
 1883.5         -6.69
 1884.5         -6.70
 1885.5         -6.70
 1886.5         -6.70
 1887.5         -6.71
 1888.5         -6.71
 1889.5         -6.71
 1890.5         -6.71
 1891.5         -6.72
 1892.5         -6.72
 1893.5         -6.72
 1894.5         -6.72
 1895.5         -6.72
 1896.5         -6.72
 1897.5         -6.72
 1898.5         -6.72
 1899.5         -6.73
 1900.5         -6.73
 1901.5         -6.74
 1902.5         -6.75
 1903.5         -6.76
 1904.5         -6.76
 1905.5         -6.78
 1906.5         -6.79
 1907.5         -6.80
 1908.5         -6.81
 1909.5         -6.82
 1910.5         -6.83
 1911.5         -6.84
 1912.5         -6.85
 1913.5         -6.85
 1914.5         -6.86
 1915.5         -6.86
 1916.5         -6.87
 1917.5         -6.87
 1918.5         -6.87
 1919.5         -6.87
 1920.5         -6.87
 1921.5         -6.87
 1922.5         -6.87
 1923.5         -6.86
 1924.5         -6.86
 1925.5         -6.86
 1926.5         -6.86
 1927.5         -6.86
 1928.5         -6.86
 1929.5         -6.87
 1930.5         -6.88
 1931.5         -6.89
 1932.5         -6.89
 1933.5         -6.90
 1934.5         -6.91
 1935.5         -6.92
 1936.5         -6.93
 1937.5         -6.93
 1938.5         -6.93
 1939.5         -6.94
 1940.5         -6.95
 1941.5         -6.96
 1942.5         -6.96
 1943.5         -6.97
 1944.5         -6.97
 1945.5         -6.98
 1946.5         -6.98
 1947.5         -6.98
 1948.5         -6.98
 1949.5         -6.98
 1950.5         -6.98
 1951.5         -6.98
 1952.5         -6.98
 1953.5         -6.98
 1954.5         -6.99
 1955.5         -7.00
 1956.5         -7.00
 1957.5         -7.01
 1958.5         -7.02
 1959.5         -7.04
 1960.5         -7.06
 1961.5         -7.08
 1962.5         -7.11
 1963.5         -7.15
 1964.5         -7.19
 1965.5         -7.23
 1966.5         -7.26
 1967.5         -7.29
 1968.5         -7.30
 1969.5         -7.31
 1970.5         -7.32
 1971.5         -7.33
 1972.5         -7.35
 1973.5         -7.37
 1974.5         -7.40
 1975.5         -7.44
 1976.5         -7.49
 1977.5         -7.54
 1978.5         -7.55
 1979.5         -7.56
 1980.5         -7.58
 1981.5         -7.61
 1982.5         -7.64
 1983.5         -7.68
 1984.5         -7.71
 1985.5         -7.71
 1986.5         -7.72
 1987.5         -7.75
 1988.5         -7.80
 1989.5         -7.84
 1990.5         -7.86
 1991.5         -7.86
 1992.5         -7.85
 1993.5         -7.85
 1994.5         -7.88
 1995.5         -7.92
 1996.5         -7.95
 1997.5         -7.98
 1998.5         -8.03
 1999.5         -8.06
 2000.5         -8.06
 2001.5         -8.07
 2002.5         -8.11
 2003.5         -8.15
 2004.5         -8.19
 2005.5         -8.21
 2006.5         -8.24
 2007.5         -8.26
 2008.5         -8.28
 2009.5         -8.29
 2010.5         -8.31
 2011.5         -8.33
 2012.5         -8.36
 2013.5         -8.39
 2014.5         -8.42
 2015.5         -8.44

